uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
42657,Geyse da Silva Ferreira,Normal,N\A,248794,81,25,23,-1,-1,22347776,0,0,0,41,43,35,0,0,3,3,92,92,92,92,87,84,89,78,85,81,24,83,74,84,67,84,82,64,71,72,79,32,76,72,27,47,75,77,72,10,10,10,10,10
42658,Rui Tiago Dantas da Silva,Normal,N\A,210385,81,0,-1,-1,-1,536870912,8,0,0,2,0,0,0,0,0,3,31,30,34,24,62,27,66,73,19,49,27,20,55,24,13,18,20,20,14,30,29,25,58,30,10,19,20,19,30,82,76,77,84,81
42659,Matteo Darmian,Normal,N\A,184392,81,3,5,12,-1,8388608,0,0,0,3,4,11,0,0,2,5,68,76,79,80,79,79,70,83,80,79,80,78,70,80,74,72,60,40,76,76,84,80,69,76,81,80,65,75,49,10,10,10,10,10
42660,Jonathan David,Normal,N\A,243630,81,25,-1,-1,-1,29360128,0,0,0,42,43,0,0,0,2,5,80,84,75,71,88,85,77,82,55,81,33,85,73,80,67,78,83,58,77,69,76,29,79,69,29,19,77,59,86,10,10,10,10,10
42661,Elisa De Almeida,Normal,N\A,253469,81,5,-1,-1,-1,33856,0,0,0,12,13,0,0,0,1,2,69,75,45,68,82,68,70,81,85,67,82,41,47,72,64,54,30,30,82,70,81,83,45,70,84,83,34,45,34,10,10,10,10,10
42662,Luuk de Jong,Normal,N\A,189805,81,25,-1,-1,-1,134217728,0,16,0,41,0,0,0,0,2,5,48,40,52,55,92,79,85,84,66,80,45,88,75,83,67,70,82,69,93,65,80,59,83,65,55,47,84,63,72,10,10,10,10,10
42663,Frederico de Paula Santos,Normal,N\A,209297,81,10,14,-1,-1,262144,0,8388608,0,14,16,18,0,0,3,3,80,71,89,88,73,94,68,85,85,76,82,81,81,82,75,80,67,74,56,77,81,74,79,77,80,72,63,79,64,10,10,10,10,10
42664,Océane Deslandes,Normal,N\A,264866,81,5,-1,-1,-1,8416,0,0,0,11,12,0,0,0,2,3,63,72,44,56,84,74,82,79,76,81,79,52,69,79,75,73,43,67,80,81,84,83,71,81,83,79,39,82,60,10,10,10,10,10
42665,Paulina Dudek,Normal,N\A,264884,81,5,-1,-1,-1,134230144,0,0,0,11,0,0,0,0,1,2,56,66,60,66,80,62,71,76,85,73,83,49,53,69,45,67,44,41,86,74,75,85,59,74,87,81,39,62,66,10,10,10,10,10
42666,Julie Dufour,Normal,N\A,265860,81,16,12,27,-1,12911104,0,0,0,27,30,26,0,0,3,3,84,87,91,81,65,76,54,76,59,81,53,77,79,81,75,82,76,73,49,76,82,51,75,76,52,41,72,78,67,10,10,10,10,10
42667,Nerea Eizagirre Lasa,Normal,N\A,259334,81,27,16,18,-1,17629257,0,0,0,40,31,0,0,0,3,3,80,78,91,91,84,89,69,78,52,75,68,80,80,84,70,85,84,83,79,77,82,45,84,77,72,60,60,84,80,10,10,10,10,10
42668,Abby Erceg,Normal,N\A,233341,81,5,-1,-1,-1,134219776,0,0,0,11,0,0,0,0,1,3,50,44,43,59,82,70,84,75,81,84,81,43,57,70,46,61,36,40,83,62,71,85,45,62,86,79,36,45,40,10,10,10,10,10
42669,Eberechi Eze,Normal,N\A,235794,81,18,14,16,-1,327693,0,0,0,33,22,0,0,0,3,3,79,77,84,84,70,76,70,79,58,82,52,80,80,82,72,85,80,78,49,75,82,40,79,75,58,42,80,79,77,10,10,10,10,10
42670,Youssouf Fofana,Normal,N\A,245630,81,10,14,-1,-1,4096,0,0,0,14,16,18,0,0,2,3,67,70,70,75,75,90,77,79,78,77,81,73,77,79,66,77,66,56,63,78,80,78,76,78,81,76,46,66,64,10,10,10,10,10
42671,Emily Fox,Normal,N\A,248343,81,7,3,-1,-1,25297152,0,0,0,10,6,0,0,0,2,4,66,72,81,76,72,86,72,79,57,74,80,59,57,81,74,75,45,50,63,68,77,80,50,68,82,84,33,71,47,10,10,10,10,10
42672,Davide Frattesi,Normal,N\A,239807,81,14,18,-1,-1,4096,0,0,0,21,33,0,0,0,2,4,80,80,77,76,77,81,63,80,76,79,71,79,84,85,67,80,75,65,70,80,84,70,76,80,73,70,71,71,64,10,10,10,10,10
42673,Remo Freuler,Normal,N\A,202024,81,10,14,-1,-1,4096,0,0,0,15,20,0,0,0,3,3,63,58,67,65,62,91,67,82,71,83,79,78,78,83,65,76,70,70,48,78,83,80,75,78,81,76,68,61,61,10,10,10,10,10
42674,Conor Gallagher,Normal,N\A,238216,81,14,10,18,-1,8394752,0,0,0,18,31,0,0,0,2,3,70,76,71,72,71,94,73,80,88,76,81,78,76,81,70,78,73,73,55,81,83,77,81,81,82,78,67,73,63,10,10,10,10,10
42675,Naomi Girma,Normal,N\A,267382,81,5,-1,-1,-1,33952,0,0,0,11,0,0,0,0,2,3,63,66,80,80,83,58,80,78,78,74,81,48,66,77,57,65,38,63,79,62,75,82,69,62,85,82,35,52,43,10,10,10,10,10
42676,Alexandr Golovin,Normal,N\A,225663,81,16,18,27,-1,589857,0,0,0,28,29,33,0,0,3,4,76,77,86,77,63,86,56,81,76,80,71,80,81,83,78,83,75,81,46,76,81,45,78,76,72,66,72,82,60,10,10,10,10,10
42677,Esther González Rodríguez,Normal,N\A,233244,81,25,-1,-1,-1,0,0,0,0,42,43,0,0,0,2,4,77,77,68,71,82,72,66,81,82,65,21,86,78,83,58,80,84,63,79,58,77,24,80,58,29,30,80,53,81,10,10,10,10,10
42678,Pascal Groß,Normal,N\A,190765,81,10,14,-1,-1,520,0,0,0,14,15,16,0,0,2,4,51,50,67,66,61,85,68,85,80,85,73,80,85,85,85,80,77,78,53,85,87,75,80,85,77,72,68,85,73,10,10,10,10,10
42679,Marc Guéhi,Normal,N\A,241159,81,5,-1,-1,-1,9344,0,0,0,11,13,0,0,0,1,5,69,75,69,65,84,73,78,82,77,76,81,35,59,76,49,70,42,32,79,76,80,82,49,76,83,82,32,54,38,10,10,10,10,10
42880,Adriana Nanclares Romero,Normal,N\A,272212,79,0,-1,-1,-1,0,5,0,0,2,0,0,0,0,0,2,50,37,56,44,53,16,36,77,18,32,14,7,27,11,9,10,9,11,11,23,15,9,53,23,17,18,7,10,12,80,75,70,81,78
42881,Wenderson Nascimento Galeno,Normal,N\A,239482,79,16,27,-1,-1,13500416,0,0,0,30,38,0,0,0,3,3,92,94,88,73,69,82,66,78,56,85,45,79,69,80,68,83,79,70,41,62,73,34,75,62,39,29,65,78,59,10,10,10,10,10
42882,Francisca Ramos Nazareth Sousa,Normal,N\A,261855,79,18,14,25,-1,8716322,0,0,0,31,18,0,0,0,3,4,78,79,72,72,77,73,68,75,47,77,42,76,75,83,67,81,80,68,69,74,82,38,68,74,71,65,68,74,76,10,10,10,10,10
42883,Matt O'Riley,Normal,N\A,240734,79,14,10,18,-1,606243,0,0,0,22,31,0,0,0,3,4,68,69,74,82,74,85,73,79,71,81,67,80,83,78,74,76,77,74,66,79,82,66,81,79,70,65,74,78,72,10,10,10,10,10
42884,Jonas Omlin,Normal,N\A,223550,79,0,-1,-1,-1,0,4,0,0,2,0,0,0,0,0,3,52,51,32,51,74,35,72,74,22,55,25,15,48,31,24,27,17,16,24,35,45,20,57,35,21,24,15,21,27,79,77,76,82,75
42886,Salma Celeste Paralluelo Ayingono,Normal,N\A,269404,79,27,16,25,-1,4259841,0,0,0,39,41,0,0,0,3,4,92,93,89,70,93,77,84,72,51,75,41,74,73,81,68,80,82,65,74,70,73,42,81,70,42,40,75,77,63,10,10,10,10,10
42887,Toni Payne,Normal,N\A,272051,79,12,23,27,-1,12713984,0,0,0,23,24,38,0,0,3,4,90,89,80,77,89,92,83,77,59,75,75,79,78,77,70,76,75,55,70,70,78,70,74,70,75,69,65,76,67,10,10,10,10,10
42888,Ayoze Pérez Gutiérrez,Normal,N\A,215590,79,16,12,18,27,33882144,0,0,0,28,30,26,0,0,3,4,80,76,80,79,80,66,58,78,76,77,49,78,77,82,76,84,76,60,76,74,79,61,71,74,61,42,74,76,73,10,10,10,10,10
42889,Mattia Perin,Normal,N\A,198009,79,0,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,3,57,56,53,30,63,30,52,74,25,65,19,12,44,23,11,19,11,13,12,31,33,20,53,31,12,19,19,15,21,79,79,71,81,79
42890,Matteo Pessina,Normal,N\A,239613,79,14,10,18,-1,8396800,0,0,0,20,16,31,0,0,2,2,64,72,68,65,69,86,65,78,70,78,72,74,80,82,70,80,70,60,63,76,83,74,74,76,74,70,68,76,64,10,10,10,10,10
42891,Lena Petermann,Normal,N\A,227734,79,25,-1,-1,-1,2097152,0,0,0,41,0,0,0,0,3,3,71,67,62,51,90,78,78,78,61,81,30,85,68,80,58,73,80,67,88,59,73,45,79,59,38,33,76,69,85,10,10,10,10,10
42892,Đorđe Petrović,Normal,N\A,269626,79,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,40,43,45,34,67,37,73,79,27,62,15,11,50,45,11,20,11,12,13,50,47,20,55,50,15,17,11,12,13,79,78,73,81,77
42893,Ethan Pinnock,Normal,N\A,238717,79,5,-1,-1,-1,201334912,0,0,0,11,13,0,0,0,1,3,65,69,48,53,86,77,86,77,81,71,80,39,58,64,42,60,31,37,78,65,64,81,52,65,82,79,33,40,44,10,10,10,10,10
42894,Yeremy Jesús Pino Santos,Normal,N\A,259377,79,16,12,27,-1,131072,0,0,0,28,29,38,0,0,2,4,77,76,79,79,52,70,32,74,48,60,29,79,76,80,77,81,79,60,46,74,78,31,68,74,48,41,67,73,54,10,10,10,10,10
42895,Nichelle Prince,Normal,N\A,235962,79,12,18,23,-1,0,0,0,0,23,26,33,0,0,2,3,81,82,84,75,72,80,53,79,35,70,31,83,73,80,74,79,78,59,68,64,75,38,70,64,39,37,57,69,72,10,10,10,10,10
42896,Soufiane Rahimi,Normal,N\A,264348,79,16,25,27,-1,4325380,0,0,0,30,39,0,0,0,3,4,87,84,75,76,77,81,62,75,52,74,41,78,76,76,73,80,80,66,62,66,75,35,71,66,34,30,73,68,67,10,10,10,10,10
42897,Gonçalo Matias Ramos,Normal,N\A,256903,79,25,-1,-1,-1,136314897,0,0,0,42,0,0,0,0,1,4,77,75,77,75,89,85,79,81,78,75,44,85,63,78,58,76,81,45,80,63,72,43,82,63,47,34,74,64,60,10,10,10,10,10
42898,Antonee Robinson,Normal,N\A,229348,79,7,-1,-1,-1,132736,0,0,0,9,0,0,0,0,2,3,87,89,79,71,82,81,73,75,83,67,80,71,63,74,79,80,44,39,63,73,74,73,46,73,76,74,45,80,45,10,10,10,10,10
42899,Rocky Rodríguez,Normal,N\A,267226,79,10,14,-1,-1,4,0,0,0,14,15,18,0,0,2,4,41,57,72,71,72,74,91,77,80,81,76,73,84,85,64,77,72,73,63,77,83,76,82,77,72,66,83,59,75,10,10,10,10,10
42900,Cinta Del Mar Rodríguez Costa,Normal,N\A,272113,79,5,-1,-1,-1,32768,0,0,0,11,12,0,0,0,1,2,68,75,66,70,81,71,85,81,73,75,79,66,65,80,66,55,51,38,70,70,80,80,35,70,84,79,30,46,68,10,10,10,10,10
42901,Alejandro Romero Gamarra,Normal,N\A,226376,79,18,14,-1,-1,262185,0,0,0,31,32,22,0,0,3,3,82,80,86,83,60,70,59,74,72,73,42,73,84,81,79,79,73,74,30,79,81,65,70,79,53,55,64,80,74,10,10,10,10,10
42902,Oriol Romeu Vidal,Normal,N\A,199576,79,10,14,-1,-1,36864,0,0,0,15,20,0,0,0,1,3,46,35,53,56,76,75,83,76,84,75,81,64,74,74,46,65,45,53,73,75,79,79,78,75,80,79,52,57,54,10,10,10,10,10
42903,Valentin Rongier,Normal,N\A,223874,79,10,14,-1,-1,10485792,0,0,0,14,16,18,0,0,2,4,68,63,74,88,71,82,77,78,77,81,80,65,75,79,65,76,59,69,53,77,80,76,74,77,80,72,66,74,65,10,10,10,10,10
42904,Frederik Rønnow,Normal,N\A,201269,79,0,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,2,48,45,34,40,66,32,67,76,17,31,12,14,48,12,14,13,9,7,12,30,25,15,52,30,11,13,7,16,17,79,79,69,81,78
42905,Gerónimo Rulli,Normal,N\A,215316,79,0,-1,-1,-1,536871040,0,0,0,2,0,0,0,0,0,3,56,52,58,50,72,42,73,77,26,61,21,12,61,15,12,14,15,20,12,50,36,15,60,50,13,17,16,19,24,78,76,80,81,79
42906,Julian Ryerson,Normal,N\A,229891,79,3,7,-1,-1,8389632,0,0,0,5,9,0,0,0,1,4,78,73,76,77,73,83,78,77,84,74,74,62,62,76,77,77,62,39,62,69,77,81,73,69,74,80,55,59,44,10,10,10,10,10
42907,María Sánchez,Normal,N\A,228724,79,16,12,27,-1,67108,0,0,0,27,30,23,0,0,3,3,86,85,81,82,73,88,67,71,52,72,45,77,76,83,75,78,73,75,51,69,77,40,71,69,43,42,60,77,72,10,10,10,10,10
42908,Pape Matar Sarr,Normal,N\A,259868,79,10,14,-1,-1,0,0,0,0,14,16,18,0,0,1,3,72,68,75,72,73,83,71,79,76,79,80,74,77,79,72,79,65,49,58,78,81,76,69,78,79,74,54,60,50,10,10,10,10,10
42909,Gianluca Scamacca,Normal,N\A,226710,79,25,-1,-1,-1,16,0,0,0,41,42,0,0,0,2,3,61,69,61,59,87,61,85,76,58,79,26,80,71,80,44,74,83,68,83,70,75,40,83,70,28,20,79,69,68,10,10,10,10,10
42910,Perr Schuurs,Normal,N\A,241854,79,5,-1,-1,-1,2048,0,0,0,11,12,0,0,0,1,3,61,76,62,34,79,73,76,75,70,77,82,44,70,75,69,68,57,71,75,77,78,80,85,77,83,80,52,68,57,10,10,10,10,10
42911,Benjamin Šeško,Normal,N\A,260592,79,25,-1,-1,-1,168099844,0,0,0,41,42,0,0,0,3,4,79,89,74,69,93,78,83,71,62,76,39,80,61,79,56,77,82,56,81,57,72,45,81,57,42,35,74,63,61,10,10,10,10,10
42912,Risa Shimizu,Normal,N\A,245826,79,3,-1,-1,-1,4096,0,0,0,3,4,0,0,0,2,3,79,82,79,82,69,75,49,74,65,63,76,45,62,72,80,67,58,53,70,68,76,80,57,68,79,77,45,70,50,10,10,10,10,10
42913,Mário Rui Silva Duarte,Normal,N\A,204614,79,7,-1,-1,-1,131072,0,0,0,9,10,0,0,0,2,3,81,79,87,87,71,83,55,76,80,71,78,64,69,80,82,78,42,74,60,76,79,74,69,76,76,75,57,76,60,10,10,10,10,10
42914,Wilfried Singo,Normal,N\A,252802,79,5,3,-1,-1,131088,0,0,0,11,12,13,0,0,2,2,70,83,66,60,87,78,85,79,84,75,75,66,64,74,73,74,55,40,77,70,75,74,72,70,80,78,50,67,46,10,10,10,10,10
42915,Łukasz Skorupski,Normal,N\A,189908,79,0,-1,-1,-1,268435456,4,0,0,2,0,0,0,0,0,3,51,51,48,38,63,31,58,76,33,58,17,13,32,23,19,18,11,19,10,26,35,18,51,26,12,12,17,12,22,79,76,68,83,78
42916,Katja Snoeijs,Normal,N\A,244059,79,25,18,-1,-1,134217728,0,0,0,42,44,31,0,0,2,3,79,80,76,54,82,82,70,72,48,79,38,84,66,83,57,81,83,56,73,66,74,41,79,66,41,31,76,64,73,10,10,10,10,10
42917,Tomáš Souček,Normal,N\A,236792,79,10,14,-1,-1,16,0,0,0,14,19,0,0,0,2,3,49,51,34,48,82,87,83,78,79,73,81,75,70,75,68,71,72,53,82,75,75,79,73,75,82,77,79,63,70,10,10,10,10,10
42918,Sofie Svava,Normal,N\A,264980,79,7,-1,-1,-1,131072,0,0,0,10,0,0,0,0,3,3,84,83,73,51,86,80,81,78,73,71,75,60,73,81,74,78,52,57,80,69,75,75,51,69,77,75,50,66,68,10,10,10,10,10
42919,Kateřina Svitková,Normal,N\A,265304,79,18,14,16,-1,65540,0,0,0,31,27,0,0,0,3,5,72,75,78,72,76,80,63,79,68,65,75,76,75,85,79,86,76,69,73,72,77,68,79,72,73,67,70,86,66,10,10,10,10,10
42920,António João Tavares Silva,Normal,N\A,270086,79,5,-1,-1,-1,6272,0,0,0,12,13,0,0,0,1,2,78,81,57,58,83,83,83,79,70,77,78,34,69,73,45,69,31,26,77,76,77,80,60,76,81,78,51,36,40,10,10,10,10,10
42921,Pietro Terracciano,Normal,N\A,205812,79,0,-1,-1,-1,536870912,2,0,0,2,0,0,0,0,0,2,40,42,41,45,63,33,60,70,19,63,16,12,42,22,13,15,11,12,15,21,27,20,55,21,11,19,16,12,22,80,77,73,83,79
42922,Martin Terrier,Normal,N\A,236786,79,25,16,-1,-1,134348801,0,0,0,41,43,29,0,0,2,3,81,83,72,71,86,75,75,76,57,79,27,78,77,82,73,80,82,58,75,72,78,34,79,72,31,34,79,77,73,10,10,10,10,10
42923,Kieran Tierney,Normal,N\A,226491,79,7,-1,-1,-1,67240960,0,0,0,9,0,0,0,0,2,3,78,82,76,74,76,77,71,79,84,75,77,75,74,76,82,79,52,56,59,68,78,78,79,68,78,77,38,73,42,10,10,10,10,10
42924,Quinten Timber,Normal,N\A,251806,79,14,10,18,-1,98340,0,0,0,21,14,31,0,0,2,4,86,70,80,82,86,78,82,80,82,75,76,77,78,80,66,79,74,58,65,77,80,75,81,77,77,75,65,71,60,10,10,10,10,10
42925,Jurriën Timber,Normal,N\A,251805,79,5,-1,-1,-1,5120,0,0,0,12,13,0,0,0,2,3,78,78,73,74,84,74,82,78,72,85,82,66,64,77,60,75,41,31,68,70,79,83,58,70,82,76,41,44,42,10,10,10,10,10
42926,Rafael Tolói,Normal,N\A,187598,79,5,-1,-1,-1,37888,0,0,0,12,0,0,0,0,1,3,57,64,59,66,82,77,78,78,81,84,80,40,50,70,44,58,40,65,82,68,69,80,75,68,82,79,30,41,64,10,10,10,10,10
42927,Paula Tomás Serer,Normal,N\A,272011,79,7,-1,-1,-1,10494976,0,0,0,9,10,0,0,0,3,3,80,83,78,77,88,82,74,74,69,81,74,68,70,77,77,75,44,45,80,77,81,75,61,77,81,72,38,75,50,10,10,10,10,10
42928,Maddi Torre Larrañaga,Normal,N\A,272203,79,5,10,-1,-1,134217728,0,0,0,11,12,13,0,0,2,3,56,68,72,64,79,83,75,74,60,70,82,61,77,75,70,66,50,50,80,75,84,85,62,75,81,80,59,62,59,10,10,10,10,10
42929,Edin Višća,Normal,N\A,205678,79,12,23,-1,-1,17433096,0,0,0,23,25,26,0,0,2,4,84,81,87,91,66,81,58,74,52,81,51,78,79,80,78,79,77,68,45,71,76,55,80,71,40,40,74,77,77,10,10,10,10,10
42930,Nikola Vlašić,Normal,N\A,241095,79,18,23,27,-1,73728,0,0,0,31,37,40,0,0,2,5,77,73,77,88,76,75,68,77,75,77,65,76,78,83,71,83,74,72,65,74,80,54,80,74,62,37,71,70,66,10,10,10,10,10
42931,Aaron Wan-Bissaka,Normal,N\A,229880,79,3,-1,-1,-1,141312,0,16384,0,4,5,0,0,0,2,2,78,85,78,70,72,73,71,77,73,78,81,71,65,73,70,79,44,45,50,58,74,77,70,58,80,88,43,73,44,10,10,10,10,10
42932,James Ward-Prowse,Normal,N\A,205569,79,14,10,18,-1,608,0,8,0,18,14,31,0,0,2,3,61,53,72,76,65,92,62,73,75,78,65,66,82,80,90,72,72,94,59,83,84,64,81,83,71,63,52,92,79,10,10,10,10,10
42933,Morgan Weaver,Normal,N\A,266093,79,27,16,-1,-1,262674,0,0,0,39,30,0,0,0,2,4,82,83,81,54,92,81,82,78,54,71,43,78,75,79,79,79,81,62,78,75,80,37,79,75,43,42,66,79,76,10,10,10,10,10
42934,Julian Weigl,Normal,N\A,222028,79,10,14,-1,-1,18891200,0,0,0,15,20,0,0,0,2,3,65,45,74,64,71,80,68,78,76,78,74,67,75,77,59,75,65,46,65,85,86,75,68,85,78,64,57,73,57,10,10,10,10,10
42935,Yoane Wissa,Normal,N\A,234824,79,27,16,25,-1,33685504,0,0,0,38,39,42,0,0,2,3,83,87,83,73,78,78,68,76,67,74,31,79,72,80,72,80,81,54,66,61,76,25,76,61,24,19,80,57,79,10,10,10,10,10
42936,Arin Wright,Normal,N\A,267281,79,5,7,-1,-1,6144,0,0,0,11,7,0,0,0,1,3,62,69,74,61,81,78,77,78,76,83,79,58,48,77,76,74,48,42,77,67,76,81,60,67,81,79,53,67,47,10,10,10,10,10
42937,Denis Zakaria,Normal,N\A,229261,79,10,14,-1,-1,8192,0,0,0,14,20,0,0,0,2,3,72,86,67,62,83,76,87,78,87,82,77,65,72,77,68,78,64,46,67,74,79,80,80,74,81,78,46,63,48,10,10,10,10,10
42938,Davide Zappacosta,Normal,N\A,216150,79,7,12,16,-1,0,0,0,0,9,10,27,0,0,2,3,77,75,69,67,75,79,63,73,75,73,77,74,68,75,83,77,60,59,69,69,77,75,78,69,77,78,69,76,59,10,10,10,10,10
42939,Edon Zhegrova,Normal,N\A,239763,79,12,23,-1,-1,17629697,0,0,0,25,26,35,0,0,3,2,92,79,90,79,66,69,61,75,54,76,20,75,76,80,78,84,69,74,36,70,76,32,78,70,21,18,62,80,51,10,10,10,10,10
42940,Oleksandr Zinchenko,Normal,N\A,227813,79,7,-1,-1,-1,262208,0,0,0,8,0,0,0,0,2,3,73,61,79,79,74,77,63,79,74,78,78,77,82,83,83,82,58,76,70,82,84,75,78,82,78,77,61,83,58,10,10,10,10,10
42941,Joshua Zirkzee,Normal,N\A,250961,79,25,-1,-1,-1,852000,0,0,0,41,0,0,0,0,3,3,74,73,84,61,85,69,82,78,51,83,28,82,79,86,58,84,79,66,73,68,79,40,76,68,30,28,75,68,77,10,10,10,10,10
42942,Carlos Augusto Zopolato Neves,Normal,N\A,258648,79,16,7,27,-1,8388608,0,0,0,28,29,9,0,0,2,2,80,81,79,76,86,84,78,76,78,77,75,78,76,81,79,80,68,74,72,74,78,75,79,74,76,76,73,77,52,10,10,10,10,10
42943,Saud Abdulhamid,Normal,N\A,246688,78,3,-1,-1,-1,12713984,0,67108864,0,6,0,0,0,0,2,3,91,92,82,87,73,94,70,72,75,64,74,75,59,66,75,74,41,43,61,67,71,69,53,67,76,70,35,62,48,10,10,10,10,10
42944,Tammy Abraham,Normal,N\A,231352,78,25,-1,-1,-1,0,0,0,0,44,0,0,0,0,2,3,75,81,61,53,92,66,85,80,68,80,25,79,76,78,53,77,77,55,81,53,74,40,80,53,29,20,80,55,79,10,10,10,10,10
42945,Tosin Adarabioyo,Normal,N\A,222104,78,5,-1,-1,-1,134217856,0,0,0,11,13,0,0,0,1,3,66,77,42,44,85,68,82,76,78,77,77,30,60,77,43,58,32,33,76,80,77,78,50,80,81,77,30,45,37,10,10,10,10,10
42946,Amine Adli,Normal,N\A,255223,78,25,16,18,-1,327680,0,0,0,41,43,30,0,0,3,3,87,80,86,83,92,79,70,76,73,71,30,78,71,82,66,83,79,52,74,63,75,44,79,63,38,35,67,73,68,10,10,10,10,10
42947,Joseph Aidoo,Normal,N\A,230021,78,5,-1,-1,-1,32768,0,0,0,11,0,0,0,0,1,3,69,79,68,68,89,81,91,73,87,63,81,25,23,58,34,35,18,28,77,50,72,74,50,50,78,76,21,24,31,10,10,10,10,10
42948,Laia Aleixandri López,Normal,N\A,253435,78,5,3,-1,-1,0,0,0,0,12,13,4,0,0,1,4,70,79,64,70,82,67,74,76,75,64,78,22,31,74,59,32,28,42,77,63,75,78,40,63,82,79,22,37,38,10,10,10,10,10
42949,Miguel Almirón,Normal,N\A,230977,78,23,12,-1,-1,12713985,0,0,0,35,26,0,0,0,3,1,89,86,86,69,62,88,52,77,69,75,59,77,74,79,73,81,75,66,43,67,75,62,78,67,59,49,75,78,69,10,10,10,10,10
42950,Nadiem Amiri,Normal,N\A,225309,78,14,18,-1,-1,16842825,0,0,0,21,31,0,0,0,3,3,76,59,81,79,65,72,69,78,68,81,68,81,82,81,79,83,71,76,42,77,80,66,81,77,59,42,70,80,65,10,10,10,10,10
42951,Sofyan Amrabat,Normal,N\A,224158,78,10,14,-1,-1,2113536,0,0,0,15,20,0,0,0,2,2,62,67,62,80,73,79,78,74,86,75,74,66,74,79,63,74,66,65,61,77,79,74,74,77,77,74,68,72,57,10,10,10,10,10
42952,Michail Antonio,Normal,N\A,190717,78,25,-1,-1,-1,67239952,0,0,0,42,44,0,0,0,3,3,74,79,65,74,93,70,86,81,84,72,45,78,73,76,74,78,75,60,84,72,74,48,78,72,56,53,70,66,75,10,10,10,10,10
42953,Mauro Arambarri,Normal,N\A,232665,78,10,14,-1,-1,128,0,0,0,14,19,0,0,0,2,3,68,54,69,75,75,78,77,76,82,70,77,60,72,76,63,74,55,70,62,74,76,81,82,74,80,79,61,75,50,10,10,10,10,10
42954,Cristian Arango,Normal,N\A,217998,78,25,18,-1,-1,65536,0,0,0,43,31,0,0,0,2,3,77,74,75,68,88,74,76,78,64,80,23,80,78,79,50,77,82,69,77,70,78,44,78,70,28,16,68,73,70,10,10,10,10,10
42955,Ana Vitória Araújo,Normal,N\A,274754,78,18,14,-1,-1,33882112,0,0,0,31,33,18,0,0,2,3,73,73,76,76,77,68,73,77,56,81,45,81,82,80,71,79,75,66,67,75,78,40,67,75,60,57,58,80,73,10,10,10,10,10
42956,Benoît Badiashile,Normal,N\A,242578,78,5,-1,-1,-1,32896,0,0,0,11,12,13,0,0,1,3,55,67,50,45,82,65,83,76,75,72,77,42,67,67,50,57,42,43,77,77,77,77,65,77,81,77,36,55,45,10,10,10,10,10
42957,Antonín Barák,Normal,N\A,236791,78,14,18,-1,-1,327680,0,0,0,22,31,0,0,0,3,3,70,68,72,69,76,80,73,77,64,80,64,79,78,83,77,80,76,72,68,79,81,61,82,79,67,65,72,77,70,10,10,10,10,10
42958,Ricardo Barbosa Pereira,Normal,N\A,210243,78,3,-1,-1,-1,0,0,0,0,4,0,0,0,0,2,4,76,71,76,78,77,68,69,78,79,81,76,77,76,78,79,76,64,52,69,75,78,78,72,75,79,78,59,77,61,10,10,10,10,10
42959,Melvin Bard,Normal,N\A,254548,78,7,16,-1,-1,67125760,0,0,0,9,27,0,0,0,2,3,77,79,73,80,76,80,74,75,77,70,76,69,64,75,75,73,45,33,59,68,74,76,70,68,78,75,40,70,45,10,10,10,10,10
42960,Ross Barkley,Normal,N\A,199189,78,14,18,-1,-1,0,0,0,0,18,31,0,0,0,3,5,54,53,65,61,72,74,76,79,71,81,59,76,80,80,71,79,73,73,68,80,81,60,83,80,68,63,62,69,65,10,10,10,10,10
42961,Marc Bartra Aregall,Normal,N\A,198141,78,5,-1,-1,-1,134238208,0,0,0,11,12,13,0,0,2,3,68,68,67,70,84,67,77,81,76,75,79,61,74,75,57,69,55,51,78,77,78,77,73,77,79,80,43,66,52,10,10,10,10,10
42962,Sharon Beck,Normal,N\A,265101,78,18,14,-1,-1,17104913,0,0,0,31,33,18,0,0,2,3,77,73,70,77,92,70,86,78,72,83,65,80,75,83,71,81,76,69,80,72,76,54,74,72,64,53,76,79,66,10,10,10,10,10
42963,Maximilian Beier,Normal,N\A,254117,78,25,27,-1,-1,4325377,0,0,0,41,42,39,0,0,3,3,88,89,83,77,74,83,52,79,49,70,22,81,67,79,57,80,82,51,67,59,72,22,80,59,21,17,72,65,65,10,10,10,10,10
42964,Andrea Belotti,Normal,N\A,208596,78,25,-1,-1,-1,16,0,0,0,44,0,0,0,0,1,4,66,71,72,77,88,72,81,79,83,81,31,84,61,75,42,75,79,56,84,48,68,44,80,48,23,32,79,64,74,10,10,10,10,10
